match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,0,2,3,0,11,2,16
0,1,8,3,0,5,8,
0,2,9,3,0,13,9,
0,3,4,3,0,0,4,
0,0,15,3,0,14,15,
0,1,6,2,3,3,3,
0,2,1,3,0,12,1,
0,3,10,3,0,7,10,
0,0,11,3,1,14,11,
0,1,8,3,0,6,8,
0,2,13,3,1,12,13,
0,3,10,3,0,4,10,
0,0,2,3,0,15,2,
0,1,5,3,0,3,5,
0,2,9,2,3,1,1,
0,3,7,3,0,0,7,
0,0,2,3,0,14,2,
0,1,5,3,0,6,5,
0,2,9,3,0,12,9,
0,3,10,3,0,0,10,
0,0,11,2,3,15,15,
0,1,8,3,0,3,8,
0,2,13,0,3,1,1,
0,3,7,0,3,4,4,
1,,8,3,0,4,8,
1,,10,3,0,5,10,
1,,2,3,0,9,2,
1,,1,3,0,15,1,
2,,8,3,0,1,8,
2,,10,3,1,2,10,
3,,2,3,0,1,2,
4,,10,1,3,8,8,
